Sr. No.,ID,Design Type,No. of Looks,Test Type,Specified α,Power,nt/nc,Sample Size,πc,Prop. Treatment (Alt.),δ1,Variance
1,Des1,Superiority,1,1-Sided,0.005,0.518224209100404,1,19,0.1,0.59,0.49,Unpooled Estimate
2,Des2,Superiority,1,1-Sided,0.005,0.52983071666056,1,22,0.3,0.79,0.49,Unpooled Estimate
3,Des3,Superiority,1,1-Sided,0.005,0.522488063030275,1,15,0.5,0.99,0.49,Unpooled Estimate
4,Des4,Superiority,1,1-Sided,0.025,0.513847939833241,1,11,0.1,0.59,0.49,Unpooled Estimate
5,Des5,Superiority,1,1-Sided,0.025,0.530936843137456,1,13,0.3,0.79,0.49,Unpooled Estimate
6,Des6,Superiority,1,1-Sided,0.025,0.53146434919343,1,9,0.5,0.99,0.49,Unpooled Estimate
7,Des7,Superiority,1,1-Sided,0.05,0.522415692696852,1,8,0.1,0.59,0.49,Unpooled Estimate
8,Des8,Superiority,1,1-Sided,0.05,0.520147161845894,1,9,0.3,0.79,0.49,Unpooled Estimate
9,Des9,Superiority,1,1-Sided,0.05,0.560919425486297,1,7,0.5,0.99,0.49,Unpooled Estimate
10,Des10,Superiority,1,1-Sided,0.1,0.525221527106674,1,5,0.1,0.59,0.49,Unpooled Estimate
11,Des11,Superiority,1,1-Sided,0.1,0.5409064467263,1,6,0.3,0.79,0.49,Unpooled Estimate
12,Des12,Superiority,1,1-Sided,0.1,0.530976731434205,1,4,0.5,0.99,0.49,Unpooled Estimate
13,Des13,Superiority,1,1-Sided,0.005,0.810316249709909,1,33,0.1,0.59,0.49,Unpooled Estimate
14,Des14,Superiority,1,1-Sided,0.005,0.805572318512745,1,37,0.3,0.79,0.49,Unpooled Estimate
15,Des15,Superiority,1,1-Sided,0.005,0.81317587461154,1,26,0.5,0.99,0.49,Unpooled Estimate
16,Des16,Superiority,1,1-Sided,0.025,0.805365335163247,1,22,0.1,0.59,0.49,Unpooled Estimate
17,Des17,Superiority,1,1-Sided,0.025,0.806662669888812,1,25,0.3,0.79,0.49,Unpooled Estimate
18,Des18,Superiority,1,1-Sided,0.025,0.800177982434804,1,17,0.5,0.99,0.49,Unpooled Estimate
19,Des19,Superiority,1,1-Sided,0.05,0.817731265197201,1,18,0.1,0.59,0.49,Unpooled Estimate
20,Des20,Superiority,1,1-Sided,0.05,0.811237172927004,1,20,0.3,0.79,0.49,Unpooled Estimate
21,Des21,Superiority,1,1-Sided,0.05,0.815439373581724,1,14,0.5,0.99,0.49,Unpooled Estimate
22,Des22,Superiority,1,1-Sided,0.1,0.812432830528315,1,13,0.1,0.59,0.49,Unpooled Estimate
23,Des23,Superiority,1,1-Sided,0.1,0.817841589526261,1,15,0.3,0.79,0.49,Unpooled Estimate
24,Des24,Superiority,1,1-Sided,0.1,0.807208093238576,1,10,0.5,0.99,0.49,Unpooled Estimate
25,Des25,Superiority,1,1-Sided,0.245,0.816178570061609,1,7,0.1,0.59,0.49,Unpooled Estimate
26,Des26,Superiority,1,1-Sided,0.245,0.81808929228526,1,8,0.3,0.79,0.49,Unpooled Estimate
27,Des27,Superiority,1,1-Sided,0.245,0.835085555882506,1,6,0.5,0.99,0.49,Unpooled Estimate
